                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.57807,                0.49852,                 1.0506,                0.75547,                0.84508,                0.85921,                0.52989,                  1.242,                 1.1343,                 1.5258,              0.0012423,              0.0012423,              0.0012423
                     69,                0.59771,                0.52155,                 1.0517,                0.84411,                0.81647,                0.87116,                0.65599,                0.77303,                 0.9304,                 1.1251,              0.0012394,              0.0012394,              0.0012394
                     70,                 0.6218,                0.52318,                 1.0768,                0.94814,                0.82087,                0.88271,                 0.7648,                0.54265,                0.52162,                 1.0235,              0.0012366,              0.0012366,              0.0012366
                     71,                0.56875,                0.46894,                 1.0024,                0.74241,                0.84675,                0.86644,                0.77392,                0.48062,                0.58961,                0.98064,              0.0012338,              0.0012338,              0.0012338
                     72,                0.54991,                0.49079,                 1.0153,                   0.82,                0.83333,                0.85516,                0.75755,                0.53949,                0.50624,                  1.034,              0.0012309,              0.0012309,              0.0012309
                     73,                0.58784,                0.49446,                 1.0672,                0.69775,                0.75899,                0.75457,                0.67173,                0.52546,                0.58082,                 1.0224,              0.0012281,              0.0012281,              0.0012281
                     74,                0.56087,                0.48078,                 1.0225,                0.80042,                0.75434,                0.80821,                0.71308,                0.50251,                 0.5205,                 1.0056,              0.0012253,              0.0012253,              0.0012253
                     75,                 0.5778,                0.45383,                0.99313,                0.97082,                0.87089,                0.92838,                0.80147,                0.47805,                0.52722,                0.98391,              0.0012225,              0.0012225,              0.0012225
                     76,                0.61236,                0.51326,                 1.0296,                0.86561,                0.88343,                0.88716,                0.75886,                 0.5426,                0.63284,                 1.0493,              0.0012196,              0.0012196,              0.0012196
                     77,                0.58621,                0.49031,                 1.0215,                0.85844,                0.86551,                0.88344,                0.75883,                0.56846,                0.68135,                 1.0794,              0.0012168,              0.0012168,              0.0012168
                     78,                 0.5817,                0.47928,                 1.0384,                0.93025,                0.86458,                 0.8735,                0.76667,                0.48433,                0.65654,                  1.001,               0.001214,               0.001214,               0.001214
                     79,                0.57591,                0.45679,                 1.0233,                0.93304,                0.81151,                0.88487,                0.76697,                0.47351,                0.70696,                0.98177,              0.0012111,              0.0012111,              0.0012111
