                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                0.50413,                 0.3753,                0.97975,                0.97707,                0.96761,                  0.995,                0.88741,                0.42573,                0.27629,                0.93995,             0.00068582,             0.00068582,             0.00068582
                    127,                0.48732,                0.36658,                0.95346,                0.97832,                0.97514,                  0.995,                0.88669,                0.41987,                0.24525,                0.93915,             0.00068402,             0.00068402,             0.00068402
                    128,                0.50012,                0.37347,                0.97567,                0.96011,                0.98639,                  0.995,                0.89418,                 0.4377,                0.24902,                  0.953,             0.00068222,             0.00068222,             0.00068222
                    129,                0.50272,                0.39338,                0.96771,                0.91762,                0.99371,                  0.995,                0.91038,                0.42222,                 0.2645,                 0.9457,             0.00068042,             0.00068042,             0.00068042
                    130,                0.48956,                0.39523,                0.97933,                0.91947,                0.98271,                  0.995,                0.89077,                0.47084,                0.29711,                0.98995,             0.00067862,             0.00067862,             0.00067862
                    131,                0.48865,                0.37065,                0.98875,                0.90319,                0.98501,                  0.995,                0.90798,                 0.4327,                0.27536,                0.96145,             0.00067682,             0.00067682,             0.00067682
                    132,                0.47728,                0.38452,                0.96134,                 0.9154,                0.98937,                0.99452,                0.90043,                0.44961,                0.25198,                0.97653,             0.00067502,             0.00067502,             0.00067502
                    133,                0.46354,                0.36817,                0.95299,                0.93759,                   0.98,                0.99405,                0.89631,                0.45255,                0.24474,                0.97862,             0.00067322,             0.00067322,             0.00067322
                    134,                0.45855,                0.35371,                 0.9325,                 0.9632,                0.99063,                0.99405,                0.89754,                0.43667,                0.24348,                0.96794,             0.00067142,             0.00067142,             0.00067142
                    135,                0.46581,                0.34223,                0.95215,                 0.9731,                0.96249,                0.99405,                0.90284,                0.42312,                0.24889,                0.95662,             0.00066962,             0.00066962,             0.00066962
                    136,                0.48218,                0.36578,                0.97874,                0.97369,                0.94092,                0.99452,                0.88583,                0.50751,                0.28594,                 1.0206,             0.00066782,             0.00066782,             0.00066782
                    137,                0.50133,                0.38168,                0.96196,                0.96854,                0.94417,                  0.995,                0.89189,                0.47085,                0.27419,                 0.9932,             0.00066602,             0.00066602,             0.00066602
                    138,                0.47726,                0.37025,                0.97672,                0.94458,                0.95488,                  0.995,                0.90487,                0.41582,                 0.2796,                0.94814,             0.00066422,             0.00066422,             0.00066422
                    139,                0.48521,                0.38747,                0.96296,                0.94573,                0.93743,                  0.995,                0.90305,                0.45272,                0.32661,                0.96531,             0.00066242,             0.00066242,             0.00066242
                    140,                0.50338,                0.38336,                0.96238,                0.92002,                0.90122,                  0.962,                0.85978,                0.45629,                0.38247,                0.97636,             0.00066062,             0.00066062,             0.00066062
                    141,                0.49954,                0.38859,                0.97754,                0.88407,                0.92278,                  0.962,                0.85377,                 0.4289,                0.30567,                0.95695,             0.00065883,             0.00065883,             0.00065883
                    142,                0.47421,                0.37154,                0.96344,                0.82457,                0.91631,                  0.962,                0.85988,                0.43601,                0.30588,                0.95785,             0.00065703,             0.00065703,             0.00065703
                    143,                0.45958,                0.35648,                0.95658,                0.80604,                0.93206,                  0.962,                0.85226,                 0.4368,                0.29599,                 0.9549,             0.00065523,             0.00065523,             0.00065523
                    144,                0.47308,                0.39386,                0.96891,                0.89514,                0.83518,                0.88212,                0.78984,                0.42732,                0.37549,                0.94303,             0.00065343,             0.00065343,             0.00065343
                    145,                0.48845,                0.41487,                0.95638,                0.83438,                0.92327,                0.92247,                0.83823,                0.41628,                0.37158,                0.93125,             0.00065163,             0.00065163,             0.00065163
                    146,                0.46954,                0.37538,                0.94177,                0.85308,                0.92708,                0.92365,                0.84805,                0.40718,                0.40393,                0.92891,             0.00064983,             0.00064983,             0.00064983
                    147,                0.47865,                0.38352,                 0.9489,                  0.882,                0.89278,                0.92364,                0.84259,                0.41785,                0.50538,                0.93611,             0.00064803,             0.00064803,             0.00064803
                    148,                0.50831,                0.42142,                0.98196,                0.92313,                0.92463,                0.92488,                0.82747,                0.45268,                0.32225,                 0.9651,             0.00064623,             0.00064623,             0.00064623
                    149,                0.47258,                0.37077,                 0.9622,                0.92164,                0.92662,                0.92535,                0.84378,                 0.4268,                0.31035,                0.94488,             0.00064443,             0.00064443,             0.00064443
                    150,                0.46971,                0.37957,                0.96366,                0.93351,                0.92438,                0.93117,                0.85117,                0.41836,                0.29537,                0.93978,             0.00064263,             0.00064263,             0.00064263
                    151,                0.46756,                0.38341,                0.94626,                0.91008,                0.92668,                0.96902,                0.87134,                0.44136,                0.29093,                0.95727,             0.00064083,             0.00064083,             0.00064083
                    152,                0.49314,                0.39848,                0.96493,                0.83801,                0.91806,                0.95244,                0.86446,                0.44559,                0.35699,                0.96249,             0.00063903,             0.00063903,             0.00063903
                    153,                 0.4755,                0.34472,                 0.9642,                0.86493,                0.91166,                0.93703,                0.84596,                0.42139,                0.39036,                0.94495,             0.00063723,             0.00063723,             0.00063723
                    154,                0.50752,                0.39805,                 0.9569,                0.79101,                0.82589,                0.86927,                0.78104,                0.43713,                0.82429,                 0.9626,             0.00063543,             0.00063543,             0.00063543
                    155,                 0.4934,                0.35508,                0.96829,                0.72455,                0.90201,                0.86701,                0.76384,                0.49461,                 1.0363,                 1.0133,             0.00063363,             0.00063363,             0.00063363
